,Composer,Composer life dates
,,
249850,"Hilton the elder, John",1569-1608
628632,"Hindemith, Paul",1895-1963
251511,"Hobbs, John William",1799-1877
253300,"Holborne, Anthony",1545-1602
253301,"Holborne, William",1597
971470,"Holbrooke, Joseph",1878-1958
253892,"Holford, Franz",-1994
254558,"Holloway, Robin",1943-
903859,"Holmes, John",-1629
255764,"Homans, Josephine",1882-1944
256949,"Hook, Mr (James)",1746-1827
257537,"Hopkins, John Larkin",1819-1873
258641,"Horsley, Charles Edward",1822-1876
577471,"Horsley, William",1774-1858
897982,"Hoste, da Reggio",1520-1569
260064,"Howe, James",1917
972594,"Howells, Herbert",1892-1983
972701,"Hrušovský, Ivan",1927-2001
260991,"Hudson, Arthur",1882-
261922,"Hughes, Herbert",1882-1937
262517,"Hullah, John",1812-1884
264060,"Hunt, Thomas",1574-1600
903286,"Hunt, Thomas",1580-1658
264266,"Huntley, George Frederick",1854-1925
266494,"Ibberson, William Henry",1840-1924
930980,"Il Verso, Antonio",1560-1621
267225,"Indy, Vincent d'",1851-1931
910455,"Ingegneri, Marc Antonio",1536-1592
267691,"Ions, Thomas",1817-
267777,"Ireland, Francis",1721-1784
268186,"Isaac, Heinrich",1450-1517
268385,"Isnardi, Paolo",1536-1596
269011,"Jackson, Arthur Aubert",1864-
269445,"Jackson, William",1730-1803
269827,"Jacob, Gordon",1895-1984
1028132,"Jacopo, da Bologna",1340-1386
270901,"James, Philip",1890-1975
974529,"Janneqin, Clement",1485-1558
272136,"Jeep, Johannes",1581-1644
273634,"Jewell, J. H.",1875
974894,"Johansson, Bengt",1914-1989
948246,"John, Wilbye",1574-1638
274218,"Johnson, Bernard",1868-1935
903855,"Johnson, Edward",1545-1601
274889,"Johnson, William Noel",1863-
275413,"Jolivet, André",1905-1974
275537,"Joly, Denis",1874-1962
275911,"Jones, Edward, Bard",1752-1824
276157,"Jones, Henry Festing",1851-1928
844559,"Jones, Robert",1570-1617
277569,"Jordan, Charles Warwick",1840
140385,"des Prez, Josquin",1450-1521
631381,"Kagel, Emmauel",1654-1724
279655,"Kahn, Erich Itor",1905
281066,"Karg-Elert, Sigfrid",1877-1933
281665,"Kearton, J. Harper",1848
281678,"Keate, Melita",1863
281988,"Keeton, Haydn",1847
283394,"Kemp, Joseph",1778-1824
284053,"Kerbusch, Leo",1828
286288,"Killmayer, Wilhelm",1927
286546,"King, Alfred",1837
286721,"King, James",1603-1625
286850,"King, M. P. (Matthew Peter)",1773-1823
903493,"Kirbye, George",1565-1634
619386,"Klein, Manuel",1876-1919
290274,"Knight, Joseph Philip",1812-1887
290841,"Knyvett, Wm (William)",1779-1856
623976,"Knüpfer, Sebastian",1633-1676
290958,"Koch, Frederick",1862
977333,"Kodály, Zoltán",1882-1967
612983,"Kohn, Karl",1833
668941,"Kountz, R.",1869
293151,"Koven, Henry Louis Reginald de",1869
1040264,"Kox, Henk",1951-
293927,"Kraus, Egon",1912
294209,"Kreisler, Fritz",1875-1962
294501,"Krenek, Ernst",1900-1991
295191,"Kriens, Christiaan Pieter Willem",1881
842989,"Köhler, Siegfried",1927-1984
977555,"Kőler, Siegfried",1927-84
900027,"La Martoretta, Giandominico",1544-1566
305818,"La Tombelle, F. de (Fernand)",1854-1928
299622,"Lacome, P. (Paul)",1838-1920
919226,"Lacorcia, Scipione",1585-1620
299781,"Lacout-Widmer, S.",1854
300406,"Lahee, Henry",1826-1912
636297,"Lambardi, Camillo",1560-1634
301525,"Lambord, Benjamin",1879
844421,"Landini, Francesco",1325-1397
302922,"Lang, Craig Sellar",1891-1971
305592,"Lasso, Orlando di",1532-1594
877693,"Laster, James H.",1934
306177,"Lattre, Claude Jean de",1505-1569
306488,"Laurens, Edmond",1852
911108,"Lauridsen, Morten",1943-
307353,"Lawrence, Ian",1933-
307431,"Lawson, Malcolm Leonard",1849-
979860,"Lechner, Leonhard",1553-1606
310650,"Lee, E. Markham (Ernest Markham)",1874-1956
980249,"Leguay, Jean-Pierre",1938-
980250,"Leguay, Jean-Pierre",1939-
312774,"Lehmann, Liza",1862-1918
313194,"Leigh, William Austen",1843-
313898,"Lemare, Edwin H. (Edwin Henry)",1865-1934
895309,"Leonetti, Giovan Battista",1575-1617
316031,"Leslie, Henry",1822-1896
981004,"Lichfild, Henry",1613
319904,"Lieurance, Thurlow",1878-1963
320891,"Lindner, Paul",1861-1945
322102,"Linley, Thomas",1733-1795
322105,"Linley, Thomas",1756-1778
903856,"Lisley, John",-1601
324829,"Lloyd, Charles Harford",1852-1936
325038,"Lloyd, John Morgan",1880-1960
325143,"Loar, Lloyd",1886-1943
325233,"Locatello, Giovanni Battista",-1713
1036061,"Lott, Edwin M.",1836-1902
329700,"Lotti, Antonio",-1740
331328,"Lucas, Charles",1808-
331435,"Lucas, Leighton",1903-1982
332410,"Lupacchino, Bernardino",1543-1555
1028490,"Lupo, Thomas",1571-1628
982732,"Lutyens, Elisabeth",1906-1983
332895,"Lutz, Meyer",1822-1903
333073,"Luzzaschi, Luzzasco",1544-1607
333624,"Lynes, Frank",1858-
334083,"Lyttich, Johann",1581-1611
768044,"MacArthur, Edwin",1907-1987
334468,"Macburney, Mona",1862-1932
334722,"Macclure, J. D.",1892-1960
334748,"Maccollin, Frances",1892-1960
335953,"Macfarlane, Will C. (Will Charles)",1870-1945
336317,"Macfarren, G. A. (George Alexander), Sir",1813-1887
336779,"Macfarren, Walter",1826-1905
339497,"Macpherson, S. (Stewart)",1865-1941
852030,"Macque, Giovanni de",1550-1614
340074,"Magni, Benedetto",1574-1637
340559,"Maier, Julius Josef",1840-
272106,Maistre Jhan,1485-1538
341193,"Malin, Donald Franklin",1896-
983753,"Malipiero, Gian Francesco",1882-1973
983900,"Manenti, Giovanni Piero",1535-1597
341950,"Mangelsdorff, Arthur",1873-
342152,"Mann, A. H. (Arthur Henry)",1850-1929
342609,"Mansfield, Purcell J. (Purcell James)",1889-1968
342935,"Marastoni, Antonio",1839
342945,"Marazzi, Silvio",1570-1580
984078,"Marcello, Benedetto",1686-1739
344080,"Marenzio, Luca",1553-1599
984280,"Marini, Biagio",1587-1663
345264,"Marotta, Erasmo",1578-1641
