,Composer,Composer life dates
174100,"Finney, Ross Lee",1906-1997
174902,"Fisher, Emil",
622549,"Fiurini, Ippolito",1542-1615
175609,"Flaccomio, Giovanni Pietro",
900018,"Flecha, F. Matheo",approximately 1530-1604
959069,"Fletcher, Percy E. (Percy Eastman)",1879-1932
339864,"Floridi virtuosi d'Italia, libro 3",
599497,"Flothuis, Marius",
879811,"Fogliano, Giacomo",1468-1548
959218,"Fonghetti, Paolo",1572-1630
623992,"Fontanelli, Alfonso",1557-1622
177620,"Fonteiio, Giovanni",
177913,"Forbes, Sebastian",
178223,"Ford, Thomas",-1648
178801,"Forsyth, Cecil",
179016,"Fortner, Wolfgang",1907-1987
179181,"Foster, Arnold",1898-1963
959512,"Foulds, John",1880-1939
180213,"Fourdrain, Félix",
181204,"Francesco, da Milano",1497-1543
181371,"Francis, George T.",
182952,"Freed, Arnold",
888469,"Frescobaldi, Girolamo",1583-1643
183790,"Friderici, Daniel",1584-1638
675911,"Fromm, Herbert",
184801,"Frye, Frederick Robert",
185529,"Furze, Jessie",
185672,"Gabella, Giovanni Battista",
186243,Gabriel-Marie,1852-1928
186100,"Gabrieli, Andrea",approximately 1533-1585
186154,"Gabrieli, Giovanni",approximately 1554-1612
186933,"Gagliano, Marco da",1582-1643
187038,"Gaines, Samuel Richards",1869-1945
187196,"Galbraith, J. Lamont",
187335,"Galilei, Vincenzo",-1591
187661,"Galloway, Tod B.",
188813,"Gardner, John",1917-2011
189421,"Garzi, Pietro Francesco",
189577,"Gastoldi, Giovanni Giacomo",active 1582-1609
189929,"Gatty, Nicholas Comyn",
961349,"Gaubert, Philippe",
192317,"Gelli, Ettore",
882059,"Gerarde, Derick",active 1540-1580
193156,"Gerber, Rudolf",
193656,"German, Edward",1862-1936
908744,"Gero, Ihan",active 1540-1555
193776,"Gero, Jehan",
917816,"Gero, Jhan",
962022,"Gesualdo, Carlo, principe di Venosa",approximately 1560-1613
900059,"Ghibel, Heliseo",
1042124,"Ghizzolo, Giovanni",-approximately 1625
194779,"Giacomini, Bernardo",
194819,"Gianelli, Francesco",
194897,"Giardini, Felice",1716-1796
916064,"Giardino Novo, I & II, Selections",
846382,Giardino novo bellissimo di varii fiori musicali scieltissimi,
195043,"Gibbons, Ellis",
195158,"Gibbons, Orlando",1583-1625
195657,"Gibilaro, A. (Alfonso)",
195740,"Gibsone, Burford George Henry",
732503,"Gideon, Miriam",1906-1996
196120,"Gifford, Alexander M.",
196613,"Gilbert, John",
756797,"Gill, H.",
197197,"Gillet, Ernest",
706179,"Gingrich, Irving",
197553,"Gintzler, Simon",
197933,"Giorza, Paolo",1832-1914
197979,"Giovannelli, Ruggiero",approximately 1560-1625
197992,"Giovanni Maria, da Crema",active 1540-1550
197993,"Giovanni Maria, da Crema",
198119,"Gistow, Nicolaus",
856475,"Giustiniane a tre voci, lib.1",
198651,"Glasser, Stanley",1926-
917901,"Goehr, Alexander",1932-
1042185,"Golightly, D. F. (David Frederick)",1948-
205342,"Goncsa-1d1saales, Bernal",
882834,"Gonzaga, Guglielmo",1538-1587
205416,"Goodban, Charles",
206798,"Goss, John, Sir",1800-1880
208867,"Gounod, Charles",1818-1893
210039,"Graener, Paul",
210854,"Granados, Enrique",1867-1916
210892,"Grancini, Michel' Angelo",
210909,"Grandi, Alessandro",-1630
212262,"Greaves, Thomas",active 1604
212518,"Green, Christie",
212664,"Greenberg, Noah",
621060,"Greenhill, Harold",
215265,"Griffith, W. (William)",1867-1929
1034089,"Grover, Haydn",
216765,"Gualtieri, Antonio",
216779,"Guami, Gioseffo",approximately 1540-1611
217076,"Gueroult, Jean Baptiste Auguste",
217101,"Guerrero, Francisco",1528-1599
217540,"Guilhand, Henry",
218143,"Gundry, Inglis",
219386,"Gwilt, Joseph",
965978,"Halffter, Ernesto",1905-1989
226122,"Hall, Charles John",
226156,"Hall, King",1845-1895
226927,"Halsey, Ernest",
227054,"Ham, Albert",
966207,"Hammerschmidt, Andreas",1611 or 1612-1675
228014,"Hancock, Charles",
967297,"Handl, Jacob",1550-1591
229969,"Harling, W. Franke",1887-1958
230008,"Harman, Richard Alexander",1917-
230861,"Harris, Cuthbert",1870-1932
1041244,"Harris, Victor",1869-1943
232679,"Hartmann, Arthur Martinus",
967886,"Hassler, Hans Leo",1564-1612
234288,"Hastings, Frank Seymour",
